Node,Degree
Cerebellum I-V,1.1047601347500016
Heschlâ€™s gyrus,0.9477191456653351
Angular gyrus inferior,0.9142380769054599
Middle frontal gyrus anterior,0.9087514299816934
Superior frontal sulcus,0.8472189511720193
Central sulcus,0.8335208382097558
Middle frontal gyrus,0.828268972651641
Intraparietal sulcus LH,0.8099278455368005
Superior frontal gyrus medial,0.7731281891724653
Postcentral gyrus inferior,0.7167149305841957
Paracentral gyrus RH,0.6920519507589876
Calcarine sulcus anterior,0.6898298346101979
Parieto-occipital sulcus anterior,0.6881004851456298
Parieto-occipital sulcus middle,0.6737149335972084
Cingulate cortex posterior,0.6481045673609894
Planum temporale,0.6252592724123276
Callosomarginal sulcus,0.562760803344384
Inferior frontal gyrus,0.5510906565861327
Precuneus anterior,0.5435551057195313
Parieto-occipital sulcus superior,0.5033315812032739
Cingulate gyrus mid-posterior,0.502104894163632
Superior occipital gyrus,0.5007833410638981
Middle temporal gyrus,0.49618123364257927
Cuneus,0.48874510780041847
Putamen,0.4855463859694904
Precentral gyrus medial,0.4823660694187725
Superior frontal gyrus,0.451636257973857
Dorsomedial prefrontal cortex antero-superior,0.4500167544130826
Postcentral gyrus LH,0.4469076892494074
Superior temporal sulcus with angular gyrus,0.4187890492281662
Angular gyrus superior,0.41707033082275424
Insula antero-superior,0.38908860252162353
Precentral gyrus superior,0.38781067559354554
Lingual gyrus,0.3866546470903627
Intraparietal sulcus RH,0.3778277484096887
Lingual gyrus anterior,0.37142000256971497
Superior parts of Postcentral and Precentral gyri,0.36641187421960913
Intraparietal sulcus,0.32592131715411266
Superior parietal lobule anterior,0.32047759974319145
Supramarginal gyrus,0.31415956376972287
Inferior frontal sulcus,0.3060307532701435
Superior parietal lobule,0.2872809119798543
Cingulate gyrus mid-anterior,0.2662668717119411
Paracentral lobule,0.2575277313020058
Calcarine cortex posterior,0.2567741756817759
Superior parietal lobule posterior,0.23718333043164894
Precuneus superior,0.21979110050066378
Fusiform gyrus,0.2063781965081816
Fusiform gyrus posterior,0.1845431447708043
Lateral occipital cortex,0.1716354008460701
Superior fornix and isthmus,0.1687588737784477
Superior occipital sulcus,0.16089329776829558
ventricles,0.08085332043163207
Thalamus,0.07713168956874238
Descending occipital gyrus,0.056117101265043046
Planum polare,0.043834541700431266
Cerebellum Crus II,0.01746781884417701
Caudate,0.00977885315184294
Transverse sinus,-0.0659121609846642
Superior rostral gyrus,-0.1602076705457713
Occipital pole,-0.1920363593869705
Anterior Cingulate Cortex,-0.2513491212502287
Inferior occipital gyrus,-0.2610255462203839
Paracentral lobule superior,-0.7013083394555366
